Note,Description,Date,nombre_good,nombre_follow,key
"1,0","Une idée, neuf épisodes : le scénario est très faible, l'interprétation est faible, la réalisation est tout juste correcte. Mais il ne faut pas voir là dedans autre chose qu'un mauvais film d'horreur étiré sur la longueur. Inutile d'en tirer des conclusions sur la mentalité et l'absence de moralité d'une jeunesse mondiale qui joue 30 heures par semaines à ""Call of duty"", ""Fortnite"" ou ""PUBG"", pour qui les ""autres"" ne sont que des adversaires à éliminer. La mort n'est qu'un jeu.",Publiée le 24 octobre 2021,"2


1",Suivre son activité,5
"5,0","Décors et images sublimes. Melange de battle royal et de la serie le prisonnier.. univers décalé, sanglant ultra violent du cinéma asiatique. Suspense et intrigue.",Publiée le 28 septembre 2021,"5



3",Suivre son activité,6
"4,5","Vu les deux premiers épisodes ! Le scénario est excellent , acteurs au top et mise en scene vraiment soignée .Cette série a effectivement des petits airs de Black Mirror avec une touche Coréenne . Pour ceux qui aiment le genre il y a de quoi se régaler ! Les scénaristes sont vraiment barrés et dès les premiers épisodes l'intrigue laisse entrevoir une série de rebondissements .Bref une belle surprise pour les amateurs du genre ! Vive les séries Coréennes !",Publiée le 18 septembre 2021,"10


15",Suivre son activité,7
"5,0",Une série génial vraiment du début à la fin très bien ficelé ! Franchement une petite à voir absolument !,Publiée le 23 septembre 2021,"7


5",Suivre son activité,8
"5,0",Original et terrifiant. Une magnifique satire de la société visuellement incroyable !N'hésitez plus !,Publiée le 18 septembre 2021,"22


20",Suivre son activité,9
"5,0","Excellente série Coréenne. Assez original( sauf sur quelques points), les acteurs sont excellents , je ne les connaissais pas mais les Coréens sont très forts. Les personnages sont très attachants meme le ""gangster"" ce qui renforce l’ambiance et le stress qu’on ressent pendant les jeux. Il y a énormément de secret ce qui nous pousse à faire des théories (j’en ai des bonnes 😉), on est à la fois enquêteur et joueur ! Bref aller voir la série , en famille ou seul.",Publiée le 9 octobre 2021,"4


3",Suivre son activité,10
"5,0","Serie culte en devenir. J'ai tous retrouver dedans, de l'émotion, du gore, du rire, de l'addiction au nombreux jeux asiatique qui y parcoure les 9 épisodes à regarder sans modération. L'interprétation est sans faille et les décors sont magiquement beau et hypnotique. La violence qui en découle ainsi que la cruauté ressemble à la série des Saw, un peu de Lost par moment. J'ai pu pensé également pourquoi il y aurait plusieurs saison et la derniere minutes semble évidente. Le rebondissement est exemplaire et devrait faire des jaloux sur ces série américaines. La série coréenne promet encore des moments de frissons garenti. Vivement la suite !",Publiée le 1 octobre 2021,"3


4",Suivre son activité,11
"4,0","Série top ! Une satire d'une société consumériste et capitaliste. Une critique d'un monde mercantile où l'argent est au cœur des débat. La performance des acteurs est remarquable. La photographie et les différents plans visuels sont très bien travaillés, avec notamment pléthore de couleurs. La mise en scène est également très soignée et donne de l'intensité aux scènes décisives de la série.",Publiée le 19 septembre 2021,"8



8",Suivre son activité,12
"1,5","Je ne comprends pas très bien l'engouement autour de cette série.Je ne suis peut êre pas objective car je n'aime pas les séries asiatiques.Vu les critiques, je me suis lancée, j'ai été jusqu'au bout malgré un ennui pour certains épisodes.Emotive chronique je n'ai ressenti aucune émotion est-ce dû au doublage je ne sais pas.Alors la violence dans cette série c'est effroyable. Elle va sans doute être reprise à toutes les sauces vu qu'on ne parle que de ça partout, ça ne vaut vraiment pas les 5 que je vois dans tout les commentaires, je suis un peu scotchée.La violence engendre des 5 et des commentaires titanesques.",Publiée le 24 janvier 2022,"4


0",Suivre son activité,13
"5,0","Vrai fana des films de Corée du Sud qui excellent dans les thrillers chocs, tant à l'image que dans les scénarios, à la violence assumée comme à la stylistique impeccable, voici qu'ils savent aussi produire de vraies séries marquantes, à l'instar de ""Kingdom"". ""Squid Game"" est une pépite tant sur la forme que sur le fond social, en offrant une dystopie inscrite dans le présent d'une Corée où la pauvreté et l'endettement plombent le PIB du pays. Les riches et les pauvres sont souvent abordés dans le cinéma coréen ( voir l'excellente palme d'or ""Parasite"" ). La violence atteint ici son paroxysme dans des jeux que les enfants connaissent, d'où des situations terrifiantes. Une vraie réussite assumée à ne pas mettre entre toutes les mains...",Publiée le 27 septembre 2021,"4


7",Suivre son activité,14
